ClipID,Boredom,Engagement,Confusion,Frustration 
5000442065.avi,0,3,0,0
5000442066.avi,0,3,0,0
5000442067.avi,0,2,0,0
5000442068.avi,0,3,0,0
5000442069.avi,1,3,0,0
5000442070.avi,1,3,0,0
5000442072.avi,1,2,0,0
5000442073.avi,1,3,1,1
5000442074.avi,0,2,0,0
5000442075.avi,1,2,0,0
5000442076.avi,1,2,0,0
5000442077.avi,2,2,0,0
5000442078.avi,0,2,0,0
5000671001.avi,0,3,0,0
5000671002.avi,0,2,0,0
5000671003.avi,1,2,1,1
5000671004.avi,0,3,0,0
5000671005.avi,2,2,1,0
5000671006.avi,1,2,0,0
5000671008.avi,0,3,1,0
5000671009.avi,1,2,1,0
5000671010.avi,1,3,0,0
5000671011.avi,0,3,0,0
5000671012.avi,0,3,0,0
5000671013.avi,2,2,0,0
5000671014.avi,0,3,0,0
5000671015.avi,0,3,0,0
5000671016.avi,1,2,0,0
5000671017.avi,0,2,0,0
5000671018.avi,0,3,0,0
5000671019.avi,0,2,1,0
5000671020.avi,2,2,0,0
5000671022.avi,0,2,0,0
5000671023.avi,1,3,2,0
5000671024.avi,0,2,0,0
5000671026.avi,2,3,0,0
5000671027.avi,0,2,0,0
5000671028.avi,0,3,0,0
5000671029.avi,3,2,0,0
5000671030.avi,0,3,0,0
5000671031.avi,2,2,2,1
5000671032.avi,0,3,0,0
5000671033.avi,0,3,0,0
5000671034.avi,2,2,0,0
5000671035.avi,0,3,0,0
5000671036.avi,1,2,0,0
5000671037.avi,0,2,0,0
5000671038.avi,2,2,0,0
5000671039.avi,2,2,0,2
5000671040.avi,2,2,1,1
5000671041.avi,2,1,0,0
5000671042.avi,2,1,1,0
5000671043.avi,3,2,0,3
5000671046.avi,1,2,1,0
5000671047.avi,2,2,0,0
5000671048.avi,1,1,0,2
5000671049.avi,1,1,0,0
5000671050.avi,2,2,2,1
5000671051.avi,2,2,0,0
5000671053.avi,1,2,1,0
5000671055.avi,1,2,0,0
5000671056.avi,2,3,1,0
5000671057.avi,2,2,0,0
5000671058.avi,2,1,0,0
5000671059.avi,1,2,0,0
5000671060.avi,0,2,0,0
5000671061.avi,1,1,1,2
5000671062.avi,1,2,1,1
5000671063.avi,1,2,0,0
5000671064.avi,0,3,0,0
5000671065.avi,2,2,1,0
5000671066.avi,1,2,0,0
5000671067.avi,2,2,0,2
5000671069.avi,2,1,0,1
5000671070.avi,1,1,1,2
5000671071.avi,2,2,0,0
5000672002.avi,1,2,0,0
5000672004.avi,0,2,0,0
5000672005.avi,0,2,0,0
5000672006.avi,0,3,0,0
5000672007.avi,0,2,0,0
5000672008.avi,3,2,0,0
5000672010.avi,2,2,0,0
5000672011.avi,2,3,0,0
5000672012.avi,1,2,0,0
5000672013.avi,0,3,0,0
5000672014.avi,1,3,0,0
5000672016.avi,2,2,0,0
5000672017.avi,2,2,1,1
5000672019.avi,0,3,0,0
5000672020.avi,0,3,0,0
5000672021.avi,0,3,0,0
5000672022.avi,0,3,0,0
5000672023.avi,1,2,0,0
5000672024.avi,0,2,0,0
5000672025.avi,0,3,0,0
5000672026.avi,0,3,0,0
5000672027.avi,1,2,0,0
5000672030.avi,2,2,1,0
5000672031.avi,2,2,0,0
5000672033.avi,1,2,1,0
5000672034.avi,2,2,1,1
5000672035.avi,0,3,0,0
5000672036.avi,1,2,1,1
5000672038.avi,0,3,0,1
5000672042.avi,0,3,0,0
5000672043.avi,0,3,0,0
5000672044.avi,0,3,0,0
5000672045.avi,0,3,0,0
5000672046.avi,1,2,1,0
5000672047.avi,1,2,0,0
5000672048.avi,1,2,1,1
5000672049.avi,2,2,0,0
5000672050.avi,1,2,1,1
5000672051.avi,0,3,0,0
5000672052.avi,1,3,0,0
5000672053.avi,1,2,0,0
5000672054.avi,0,3,0,0
5000672055.avi,2,3,1,0
5000672056.avi,0,3,0,0
5000672057.avi,2,2,0,0
5000672058.avi,1,2,0,0
5000672059.avi,2,2,1,0
5000672060.avi,0,2,0,0
5000672062.avi,0,3,1,0
5000672064.avi,1,2,0,1
5000672065.avi,0,2,1,0
5000672066.avi,1,2,1,0
5000672067.avi,1,2,0,0
5000672068.avi,0,2,0,0
5000672070.avi,2,3,2,1
5000672071.avi,1,2,0,0
5000672072.avi,1,2,0,0
5000672074.avi,0,3,0,0
5000672075.avi,2,3,0,1
5000672076.avi,0,3,0,0
5000672077.avi,0,2,0,1
5000672081.avi,1,2,0,0
5000672082.avi,0,2,0,0
5000951001.avi,1,2,2,1
5000951002.avi,0,2,0,0
5000951003.avi,0,3,0,0
5000951004.avi,0,2,1,0
5000951005.avi,1,2,0,0
5000951006.avi,1,2,1,1
5000951007.avi,1,3,0,0
5000951008.avi,2,2,2,0
5000951009.avi,0,3,0,0
5000951010.avi,2,2,2,3
5000951011.avi,1,3,0,0
5000951012.avi,3,2,0,0
5000951013.avi,2,2,0,0
5000951015.avi,2,3,0,0
5000951016.avi,2,2,0,0
5000951017.avi,2,2,0,0
5000951018.avi,3,2,0,0
5000951019.avi,2,1,2,0
5000951021.avi,3,2,0,0
5000951023.avi,3,1,0,0
5000951024.avi,2,1,2,1
5000951025.avi,2,2,2,0
5000951027.avi,2,1,1,0
5000951028.avi,1,3,1,1
5000951033.avi,1,2,0,0
5000951034.avi,2,2,0,0
5000951035.avi,0,2,0,0
5000951037.avi,2,2,1,1
5000951039.avi,0,2,0,0
5000951040.avi,0,3,0,0
5000951042.avi,1,2,2,0
5000951043.avi,0,3,1,0
5000951044.avi,1,2,0,1
5000951045.avi,2,2,0,0
5000951047.avi,0,2,0,0
5000951049.avi,0,3,0,0
5000951051.avi,1,3,1,1
5000951052.avi,0,2,0,0
5000951053.avi,1,2,0,1
5000951054.avi,0,3,1,0
5000951055.avi,1,2,0,0
5000951056.avi,2,3,0,0
5000951057.avi,0,3,1,0
5000951058.avi,0,3,0,0
5000951060.avi,2,3,0,0
5000951061.avi,1,2,0,0
5000951062.avi,2,2,0,0
5000951063.avi,1,2,0,1
5000951065.avi,1,3,0,0
5000951066.avi,1,2,0,0
5000951067.avi,0,2,1,0
5000952002.avi,2,2,0,0
5000952003.avi,2,2,2,0
5000952004.avi,2,2,2,3
5000952005.avi,1,3,1,1
5000952007.avi,1,3,1,0
5000952008.avi,2,3,0,0
5000952011.avi,2,2,0,0
5000952013.avi,2,2,0,0
5000952014.avi,2,2,2,1
5000952015.avi,1,3,1,1
5000952016.avi,0,2,3,0
5000952017.avi,1,2,2,0
5000952018.avi,2,2,0,1
5000952020.avi,0,2,0,0
5000952021.avi,1,2,0,0
5000952022.avi,1,2,1,1
5000952023.avi,0,3,0,0
5000952024.avi,0,2,0,0
5000952025.avi,0,3,0,0
5000952026.avi,0,3,0,0
5000952027.avi,0,2,0,0
5000952028.avi,0,2,1,0
5000952029.avi,2,2,0,0
5000952031.avi,2,2,0,0
5000952032.avi,0,2,0,0
5000952033.avi,0,2,0,0
5000952034.avi,1,1,2,0
5000952035.avi,0,2,0,0
5000952036.avi,1,2,0,0
5000952038.avi,0,3,0,0
5000952040.avi,2,3,0,0
5000952041.avi,0,2,0,0
5000952042.avi,1,2,0,0
5000952044.avi,1,2,2,0
5000952045.avi,1,2,0,0
5000952046.avi,1,3,0,0
5000952048.avi,0,2,0,0
5000952050.avi,0,3,0,0
5000952052.avi,1,2,0,0
5000952053.avi,0,3,0,0
5000952054.avi,1,2,2,1
5000952055.avi,0,2,0,0
5000952060.avi,2,2,0,0
5000952061.avi,2,2,0,0
5000952062.avi,1,1,0,0
5000952063.avi,0,2,0,0
5000952064.avi,0,3,0,0
5000952065.avi,3,2,1,0
5000952066.avi,2,2,0,0
5000952068.avi,1,3,0,0
5000952069.avi,2,2,0,0
5000952070.avi,0,3,0,0
5000952071.avi,2,2,0,0
5000952072.avi,0,3,0,0
5000952073.avi,0,2,0,0
5000952075.avi,1,2,1,1
5000952076.avi,2,3,0,0
5000952077.avi,0,2,0,0
5000952078.avi,2,2,0,0
5000952080.avi,0,3,0,0
5000952083.avi,3,1,0,0
5100091001.avi,0,2,0,0
5100091003.avi,0,3,0,0
5100091004.avi,0,3,1,1
5100091005.avi,0,2,0,0
5100091006.avi,0,2,0,0
5100091007.avi,0,3,0,0
5100091008.avi,0,3,1,0
5100091009.avi,0,2,0,0
5100091010.avi,0,3,0,0
5100091012.avi,1,2,1,1
5100091017.avi,2,2,1,1
5100091019.avi,2,2,0,0
5100091020.avi,1,3,0,1
5100091025.avi,1,2,0,0
5100091026.avi,0,3,0,0
5100091027.avi,0,2,0,0
5100091028.avi,1,2,0,0
5100091032.avi,1,3,0,0
5100091033.avi,2,2,1,0
5100091034.avi,0,3,0,0
5100091035.avi,1,3,1,1
5100091036.avi,1,3,0,1
5100091038.avi,0,3,0,0
5100091039.avi,0,3,1,1
5100091042.avi,0,3,1,0
5100091046.avi,0,3,0,0
5100091049.avi,1,1,0,0
5100091050.avi,2,2,0,1
5100091051.avi,0,2,0,0
5100091053.avi,0,2,0,0
5100091055.avi,0,3,0,0
5100091056.avi,0,2,0,0
5100091057.avi,0,2,0,0
5100091058.avi,0,2,0,0
5100091059.avi,1,2,0,0
5100091062.avi,1,2,3,3
5100091064.avi,2,2,2,0
5100091065.avi,1,3,0,0
5100091066.avi,1,2,1,0
5100091067.avi,0,3,0,0
5100091068.avi,0,2,0,0
5100091069.avi,0,3,0,0
5100092002.avi,0,3,0,0
5100092003.avi,0,3,0,0
5100092005.avi,0,3,0,0
5100092006.avi,0,3,0,0
5100092008.avi,0,3,0,0
5100092010.avi,0,3,0,0
5100092011.avi,0,2,0,0
5100092013.avi,0,3,0,0
5100092017.avi,0,2,0,0
5100092019.avi,0,3,0,0
5100092021.avi,1,2,1,0
5100092022.avi,0,3,0,0
5100092023.avi,0,3,0,0
5100092026.avi,0,3,0,0
5100092027.avi,0,3,0,0
5100092032.avi,1,2,0,0
5100092033.avi,0,3,0,0
5100092034.avi,0,2,2,1
5100092035.avi,2,2,1,1
5100092037.avi,0,2,0,0
5100092038.avi,0,2,0,0
5100092039.avi,0,3,0,0
5100092040.avi,0,3,0,0
5100092041.avi,0,2,0,0
5100092042.avi,0,3,0,0
5100092043.avi,1,2,0,0
5100092044.avi,0,3,0,0
5100092045.avi,0,3,0,0
5100092053.avi,1,2,0,0
5100092056.avi,1,2,1,1
5100092057.avi,1,2,1,0
5100092060.avi,0,3,0,0
5100092061.avi,0,3,0,0
5100092062.avi,1,2,0,0
5100092063.avi,1,2,0,0
5100092064.avi,0,3,0,0
5100092065.avi,0,2,0,1
5100092067.avi,0,3,0,0
5100092068.avi,0,2,0,0
5100092069.avi,1,3,0,0
5100092071.avi,0,3,0,0
5100092072.avi,1,3,0,0
5100341002.avi,1,2,1,0
5100341003.avi,1,2,0,0
5100341004.avi,0,3,0,0
5100341005.avi,1,2,0,0
5100341006.avi,2,2,0,0
5100341008.avi,2,2,0,0
5100341009.avi,2,2,0,0
5100341010.avi,2,2,0,0
5100341012.avi,2,3,0,1
5100341013.avi,1,2,0,0
5100341014.avi,1,3,0,0
5100341015.avi,0,2,0,0
5100341016.avi,2,2,2,1
5100341017.avi,2,2,0,0
5100341019.avi,2,2,0,0
5100341020.avi,3,3,0,1
5100341021.avi,0,3,0,0
5100341022.avi,2,2,0,0
5100341023.avi,0,2,0,0
5100341024.avi,0,3,0,0
5100341025.avi,0,2,0,0
5100341026.avi,0,3,0,0
5100341027.avi,0,3,0,0
5100341028.avi,1,2,0,0
5100341030.avi,2,2,0,1
5100341031.avi,2,3,0,1
5100341032.avi,2,2,0,0
5100341033.avi,1,2,1,0
5100341034.avi,1,3,0,0
5100341035.avi,1,2,1,1
5100341037.avi,0,2,0,0
5100341038.avi,1,2,0,0
5100341039.avi,0,3,0,0
5100341042.avi,2,2,0,0
5100341043.avi,0,1,0,0
5100341046.avi,1,2,0,0
5100341048.avi,1,3,0,0
5100341050.avi,2,3,0,0
5100341052.avi,0,3,0,0
5100341054.avi,2,3,0,0
5100341055.avi,2,3,0,0
5100341056.avi,3,2,1,0
5100341057.avi,2,2,0,0
5100341058.avi,0,3,0,0
5100341061.avi,2,2,0,0
5100341062.avi,0,3,0,0
5100341065.avi,0,3,0,0
5100341067.avi,0,3,0,0
5100341068.avi,0,3,0,0
5100341070.avi,1,3,0,0
5100341071.avi,0,3,0,0
5100341072.avi,1,3,1,1
5100341074.avi,2,1,0,0
5100341075.avi,2,3,0,0
5100341076.avi,2,3,0,0
5100341077.avi,0,2,0,0
5100341078.avi,2,3,0,0
5100341079.avi,0,3,0,0
5100342002.avi,2,3,1,0
5100342003.avi,2,2,0,1
5100342007.avi,2,3,0,0
5100342008.avi,2,2,0,0
5100342009.avi,2,2,0,0
5100342012.avi,1,2,0,0
5100342016.avi,2,2,1,2
5100342017.avi,2,3,0,0
5100342018.avi,1,2,1,1
5100342020.avi,2,3,0,0
5100342022.avi,3,0,2,3
5100342023.avi,2,1,0,0
5100342024.avi,3,1,1,2
5100342025.avi,3,2,1,1
5100342028.avi,3,1,1,1
5100342030.avi,3,2,0,3
5100342031.avi,2,2,0,1
5100342034.avi,2,2,3,3
5100342036.avi,3,1,2,0
5100342042.avi,2,2,0,0
5100342043.avi,2,2,0,0
5100342045.avi,2,2,0,0
5100342048.avi,2,1,0,0
5100351001.avi,1,1,0,0
5100351002.avi,2,1,0,1
5100351004.avi,2,2,0,1
5100351005.avi,1,2,1,2
5100351007.avi,2,2,0,0
5100351009.avi,2,2,0,0
5100351010.avi,1,2,0,0
5100351012.avi,2,3,0,0
5100351013.avi,1,1,1,0
5100351015.avi,1,2,0,0
5100351016.avi,2,2,0,0
5100351019.avi,2,2,1,0
5100351020.avi,2,2,0,0
5100351021.avi,2,2,0,0
5100351022.avi,1,0,0,0
5100351023.avi,0,2,0,0
5100351024.avi,2,2,1,0
5100351025.avi,2,2,0,1
5100351026.avi,0,3,0,0
5100351032.avi,2,3,1,1
5100351034.avi,2,3,0,0
5100351035.avi,2,2,1,1
5100351036.avi,1,2,0,0
5100351038.avi,2,2,0,0
5100351039.avi,0,3,0,0
5100351040.avi,0,2,0,0
5100351042.avi,0,1,0,0
5100351043.avi,1,3,0,0
5100351044.avi,1,2,2,1
5100351045.avi,0,2,0,0
5100351046.avi,2,3,2,1
5100351049.avi,2,3,0,0
5100351051.avi,2,3,0,0
5100351054.avi,2,2,2,0
5100351058.avi,2,2,2,0
5100352001.avi,0,2,0,0
5100352002.avi,2,2,1,1
5100352003.avi,2,2,0,0
5100352004.avi,0,3,0,0
5100352005.avi,2,2,0,0
5100352006.avi,2,2,0,0
5100352007.avi,0,3,0,0
5100352008.avi,2,2,0,0
5100352009.avi,0,3,0,0
5100352011.avi,1,2,1,0
5100352012.avi,0,2,0,0
5100352013.avi,1,3,1,1
5100352014.avi,1,2,0,0
5100352015.avi,2,2,2,1
5100352016.avi,2,2,0,0
5100352017.avi,1,3,1,1
5100352018.avi,1,2,0,0
5100352020.avi,0,3,0,0
5100352021.avi,2,2,0,1
5100352022.avi,2,1,0,0
5100352026.avi,0,3,0,0
5100352027.avi,0,3,0,0
5100352028.avi,0,2,0,0
5100352030.avi,0,3,1,0
5100352031.avi,0,3,0,0
5100352032.avi,2,2,0,0
5100352033.avi,0,2,0,0
5100352034.avi,0,2,0,0
5100352035.avi,0,2,0,0
5100352037.avi,0,2,0,0
5100352038.avi,0,3,0,0
5100352039.avi,0,3,0,0
5100352041.avi,0,2,0,0
5100352042.avi,0,2,0,0
5100352043.avi,1,1,0,1
5100352044.avi,2,2,0,0
5100352045.avi,2,3,2,0
5100352046.avi,2,3,0,0
5100352049.avi,0,2,0,0
5100352050.avi,1,2,1,0
5100352051.avi,0,2,0,0
5100352052.avi,0,3,0,0
5100352054.avi,1,1,0,0
5100352055.avi,1,3,1,0
5100352056.avi,1,2,0,0
5100352057.avi,0,2,0,0
5100352060.avi,1,2,1,0
5100352061.avi,0,2,0,0
5100352063.avi,2,2,0,0
5100361009.avi,2,2,0,1
5100361056.avi,1,2,0,0
5100362028.avi,2,3,1,1
5100362029.avi,2,2,0,1
5100362030.avi,0,3,1,0
5100362052.avi,3,2,1,0
5100371022.avi,1,2,2,1
5100371023.avi,0,3,0,0
5100371024.avi,1,2,0,0
5100371026.avi,0,3,0,0
5100371027.avi,1,3,0,1
5100371042.avi,0,3,1,0
5100371055.avi,0,2,1,1
5100371056.avi,0,2,3,2
5100371067.avi,1,2,0,0
5100371079.avi,0,2,0,0
5100372001.avi,0,3,0,0
5100372002.avi,0,2,0,0
5100372003.avi,0,2,0,0
5100372005.avi,1,2,0,1
5100372006.avi,0,3,0,0
5100372007.avi,0,3,0,0
5100372009.avi,0,3,0,0
5100372011.avi,0,3,0,1
5100372015.avi,0,3,0,0
5100372016.avi,1,3,0,0
5100372017.avi,0,3,0,0
5100372018.avi,0,3,2,0
5100372019.avi,0,2,0,0
5100372020.avi,1,3,0,0
5100372021.avi,1,2,0,0
5100372022.avi,0,3,0,0
5100372023.avi,0,3,0,0
5100372026.avi,1,3,0,0
5100372027.avi,1,3,0,0
5100372028.avi,0,2,1,0
5100372069.avi,0,3,0,0
5100381002.avi,2,3,1,0
5100381003.avi,0,3,0,0
5100381004.avi,0,2,0,0
5100381005.avi,0,2,0,0
5100381006.avi,0,2,0,0
5100381007.avi,0,2,0,0
5100381008.avi,2,2,0,0
5100381009.avi,1,2,1,1
5100381010.avi,0,2,0,0
5100381011.avi,0,3,0,0
5100381012.avi,0,3,0,0
5100381015.avi,0,3,0,0
5100381016.avi,0,3,0,0
5100381017.avi,1,2,0,0
5100381018.avi,2,2,0,0
5100381019.avi,1,3,0,0
5100381020.avi,0,2,0,0
5100381021.avi,0,2,0,0
5100381022.avi,0,2,0,0
5100381023.avi,0,3,0,0
5100381024.avi,0,3,0,0
5100381026.avi,0,2,0,0
5100381027.avi,1,3,1,1
5100381028.avi,2,3,0,1
5100381029.avi,0,3,1,0
5100381031.avi,0,2,0,0
5100381032.avi,0,2,0,2
5100381034.avi,0,3,0,0
5100381035.avi,0,2,0,0
5100381037.avi,1,2,0,1
5100381038.avi,0,2,0,0
5100381039.avi,3,2,2,0
5100381040.avi,0,3,0,0
5100381041.avi,0,3,0,0
5100381042.avi,0,2,0,0
5100381043.avi,1,2,0,0
5100381044.avi,0,2,0,0
5100381045.avi,0,3,0,0
5100381046.avi,2,3,1,0
5100381047.avi,0,3,0,0
5100381048.avi,2,3,0,0
5100381049.avi,0,2,0,0
5100381050.avi,0,3,0,0
5100381051.avi,1,2,0,0
5100381052.avi,0,3,0,0
5100381053.avi,0,3,0,0
5100381054.avi,0,2,0,0
5100381055.avi,0,2,0,0
5100381056.avi,0,3,1,0
5100381058.avi,0,2,0,0
5100381059.avi,0,3,0,0
5100381060.avi,1,2,0,0
5100381061.avi,0,2,0,0
5100381063.avi,2,2,1,0
5100381065.avi,0,2,1,1
5100381066.avi,1,2,0,0
5100381067.avi,1,2,1,0
5100381069.avi,2,2,1,3
5100382001.avi,0,2,0,0
5100382003.avi,0,3,0,0
5100382007.avi,0,2,0,0
5100382008.avi,0,2,0,0
5100382010.avi,1,3,1,0
5100382011.avi,1,3,0,0
5100382012.avi,1,3,0,0
5100382013.avi,0,3,0,0
5100382014.avi,0,3,1,0
5100382015.avi,0,2,0,0
5100382016.avi,0,3,0,0
5100382018.avi,0,3,0,0
5100382019.avi,0,3,0,0
5100382020.avi,1,2,0,0
5100382021.avi,0,3,0,0
5100382022.avi,0,3,0,0
5100382023.avi,0,3,0,0
5100382025.avi,0,3,0,0
5100382026.avi,0,3,0,0
5100382027.avi,0,3,0,0
5100382028.avi,0,2,0,0
5100382029.avi,0,3,0,0
5100382030.avi,0,3,0,0
5100382031.avi,0,2,0,0
5100382032.avi,0,2,0,0
5100382033.avi,0,3,1,0
5100382034.avi,0,2,0,0
5100382035.avi,0,2,0,0
5100382036.avi,0,3,0,0
5100382037.avi,0,2,0,0
5100382038.avi,0,3,0,0
5100382039.avi,0,3,0,0
5100382040.avi,0,2,0,0
5100382042.avi,0,3,0,0
5100382045.avi,0,3,0,0
5100382046.avi,0,2,2,0
5100382048.avi,0,2,0,0
5100382050.avi,0,3,0,0
5100382051.avi,0,2,0,0
5100382052.avi,0,3,0,0
5100382053.avi,1,3,0,0
5100382054.avi,2,2,1,0
5100382055.avi,1,3,0,0
5100382056.avi,0,3,0,1
5100382057.avi,1,3,0,0
5100382058.avi,1,2,0,0
5100382059.avi,0,2,0,0
5100382060.avi,0,3,0,0
5100382061.avi,0,3,0,0
5100382062.avi,0,3,0,0
5100382063.avi,0,3,0,0
5100382064.avi,0,3,0,0
5100382065.avi,0,3,0,0
5100382066.avi,0,2,0,0
5100382067.avi,1,2,0,0
5100382068.avi,0,3,0,0
5100382069.avi,1,2,0,0
5100382070.avi,0,3,0,0
5100382071.avi,0,3,0,0
5100382072.avi,0,3,0,0
5100382073.avi,0,2,0,0
5100382075.avi,0,2,0,0
5100382076.avi,0,2,0,0
5100382077.avi,0,2,0,0
5100382078.avi,0,2,0,0
5100382079.avi,0,2,0,0
5100401001.avi,2,2,1,1
5100401003.avi,2,2,0,0
5100401005.avi,2,2,1,1
5100401006.avi,2,2,0,1
5100401007.avi,0,3,0,0
5100401008.avi,0,3,0,0
5100401010.avi,2,2,0,0
5100401011.avi,2,2,0,0
5100401012.avi,0,2,0,0
5100401014.avi,0,3,0,0
5100401015.avi,0,2,0,0
5100401016.avi,0,2,1,0
5100401018.avi,0,2,0,0
5100401021.avi,0,3,0,0
5100401022.avi,2,3,0,0
5100401023.avi,2,1,1,1
5100401025.avi,0,3,0,0
5100401026.avi,1,3,0,0
5100401028.avi,1,2,1,1
5100401029.avi,3,2,0,0
5100401030.avi,0,3,0,0
5100401031.avi,1,2,1,0
5100401032.avi,1,2,0,0
5100401033.avi,2,2,0,0
5100401034.avi,2,1,0,0
5100401035.avi,2,2,0,0
5100401036.avi,1,2,0,0
5100401038.avi,1,3,0,0
5100401039.avi,2,2,1,1
5100401040.avi,1,2,0,0
5100401042.avi,1,2,0,0
5100401043.avi,1,1,1,1
5100401044.avi,0,3,0,0
5100401045.avi,0,3,0,0
5100401046.avi,0,2,0,0
5100401047.avi,2,2,0,0
5100401048.avi,0,2,0,0
5100401049.avi,1,2,0,0
5100401050.avi,0,2,1,0
5100401051.avi,2,2,0,0
5100401053.avi,1,3,0,1
5100401054.avi,0,2,0,0
5100401055.avi,0,2,0,0
5100401056.avi,0,3,0,0
5100401057.avi,1,3,0,0
5100401059.avi,1,2,0,0
5100401060.avi,2,2,0,0
5100401061.avi,1,2,0,0
5100401062.avi,0,3,0,0
5100401063.avi,1,2,1,1
5100401064.avi,2,2,1,1
5100401065.avi,2,1,0,0
5100401066.avi,0,3,0,0
5100401067.avi,0,2,1,0
5100401069.avi,3,3,0,0
5100401070.avi,2,2,0,0
5100401071.avi,0,2,0,0
5100401072.avi,0,3,1,0
5100401073.avi,1,2,1,1
5100401074.avi,1,3,0,0
5100401075.avi,1,2,2,0
5100401076.avi,0,2,0,0
5100401077.avi,2,2,0,0
5100401078.avi,1,2,0,0
5100402001.avi,1,1,0,0
5100402002.avi,1,2,1,0
5100402004.avi,0,3,0,0
5100402005.avi,1,3,0,0
5100402007.avi,0,2,0,0
5100402008.avi,2,3,1,0
5100402009.avi,0,2,0,0
5100402011.avi,2,2,1,1
5100402012.avi,1,2,1,1
5100402015.avi,1,2,0,0
5100402016.avi,0,2,0,0
5100402017.avi,0,2,1,0
5100402019.avi,0,3,3,0
5100402020.avi,2,2,1,0
5100402023.avi,0,3,1,1
5100402024.avi,2,3,0,0
5100402028.avi,0,2,0,0
5100402029.avi,2,2,2,0
5100402031.avi,2,2,0,0
5100402032.avi,0,3,0,0
5100402033.avi,2,2,0,0
5100402034.avi,0,2,0,0
5100402035.avi,2,3,1,1
5100402036.avi,1,2,2,1
5100402037.avi,2,2,1,1
5100402038.avi,0,3,0,0
5100402039.avi,1,2,0,0
5100402040.avi,2,3,0,0
5100402046.avi,2,2,0,0
5100402047.avi,1,2,0,0
5100402048.avi,2,2,0,0
5100402049.avi,0,3,0,0
5100402050.avi,0,2,0,1
5100402051.avi,2,2,0,2
5100402052.avi,2,2,2,0
5100402053.avi,1,2,0,0
5100402054.avi,2,2,1,1
5100402055.avi,1,2,1,1
5100402057.avi,1,2,1,0
5100402058.avi,2,2,0,0
