ClipID;Boredom;Engagement;Confusion;Frustration ;;Only Con;Only Frus;>1;>0;;;Bor;onlyEng;onlyBored
1100012069.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100021001.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100021003.avi;0;1;0;0;;0;0;0;0;1;;0;1;0
1100021015.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100021038.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100021039.avi;1;2;2;2;;1;1;1;1;0;;0;0;0
1100021040.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100021045.avi;1;3;0;1;;0;1;0;1;1;;0;0;0
1100021050.avi;0;3;0;2;;0;1;1;1;1;;0;0;0
1100021055.avi;3;1;0;0;;0;0;0;0;1;;1;1;0
1100022001.avi;2;3;1;1;;1;1;0;1;1;;0;0;0
1100022002.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100022003.avi;2;3;1;1;;1;1;0;1;1;;0;0;0
1100022004.avi;2;3;0;1;;0;1;0;1;1;;0;0;0
1100022005.avi;2;1;0;0;;0;0;0;0;1;;1;1;0
1100022008.avi;2;2;1;1;;1;1;0;1;0;;0;0;0
1100022009.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100022014.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100022019.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100022020.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100022021.avi;1;2;1;0;;1;0;0;1;0;;0;0;0
1100022022.avi;3;2;0;1;;0;1;0;1;0;;0;0;0
1100022026.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022027.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100022028.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022029.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022031.avi;0;3;1;1;;1;1;0;1;1;;0;0;0
1100022035.avi;0;2;1;0;;1;0;0;1;0;;0;0;0
1100022038.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100022039.avi;1;3;0;1;;0;1;0;1;1;;0;0;0
1100022045.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022046.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022047.avi;1;3;3;0;;1;0;1;1;1;;0;0;0
1100022048.avi;0;2;2;0;;1;0;1;1;0;;0;0;0
1100022049.avi;0;2;3;0;;1;0;1;1;0;;0;0;0
1100022051.avi;0;3;3;1;;1;1;1;1;1;;0;0;0
1100022052.avi;0;2;2;0;;1;0;1;1;0;;0;0;0
1100022053.avi;0;2;2;1;;1;1;1;1;0;;0;0;0
1100022054.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100022055.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100022056.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100022057.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100041006.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100041015.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100041016.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100041017.avi;2;2;0;2;;0;1;1;1;0;;0;0;0
1100041018.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100041021.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100041022.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100041023.avi;2;2;2;1;;1;1;1;1;0;;0;0;0
1100041024.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100041029.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100041034.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100041044.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100041051.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100041052.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100042009.avi;2;2;1;1;;1;1;0;1;0;;0;0;0
1100042010.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100042011.avi;2;2;1;1;;1;1;0;1;0;;0;0;0
1100042017.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100042018.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100042019.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100042020.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100042023.avi;3;1;1;0;;1;0;0;1;0;;1;0;0
1100042024.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100042025.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100042026.avi;2;1;1;0;;1;0;0;1;0;;1;0;0
1100042029.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100042030.avi;0;2;1;0;;1;0;0;1;0;;0;0;0
1100042031.avi;2;3;2;0;;1;0;1;1;1;;0;0;0
1100042034.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100042040.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100042041.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100042058.avi;1;2;2;0;;1;0;1;1;0;;0;0;0
1100042059.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100042060.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051002.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051004.avi;2;2;3;1;;1;1;1;1;0;;0;0;0
1100051006.avi;2;2;1;1;;1;1;0;1;0;;0;0;0
1100051007.avi;2;1;2;1;;1;1;1;1;0;;1;0;0
1100051008.avi;2;2;2;0;;1;0;1;1;0;;0;0;0
1100051009.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051011.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051012.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051013.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051014.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051016.avi;2;1;2;0;;1;0;1;1;0;;1;0;0
1100051017.avi;2;2;1;2;;1;1;1;1;0;;0;0;0
1100051019.avi;2;3;1;0;;1;0;0;1;1;;0;0;0
1100051020.avi;1;2;1;0;;1;0;0;1;0;;0;0;0
1100051021.avi;2;2;2;0;;1;0;1;1;0;;0;0;0
1100051022.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051023.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051024.avi;2;2;1;1;;1;1;0;1;0;;0;0;0
1100051025.avi;2;2;2;0;;1;0;1;1;0;;0;0;0
1100051026.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100051028.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051029.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051030.avi;2;1;0;0;;0;0;0;0;1;;1;1;0
1100051031.avi;2;1;0;0;;0;0;0;0;1;;1;1;0
1100051032.avi;1;3;1;0;;1;0;0;1;1;;0;0;0
1100051033.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051034.avi;2;2;2;0;;1;0;1;1;0;;0;0;0
1100051035.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100051036.avi;2;2;2;1;;1;1;1;1;0;;0;0;0
1100051037.avi;2;2;0;2;;0;1;1;1;0;;0;0;0
1100051039.avi;2;2;2;3;;1;1;1;1;0;;0;0;0
1100051041.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100051042.avi;2;2;2;0;;1;0;1;1;0;;0;0;0
1100051044.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100051045.avi;1;3;1;0;;1;0;0;1;1;;0;0;0
1100051046.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100051048.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051049.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051050.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100051051.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100051052.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100051053.avi;2;1;0;0;;0;0;0;0;1;;1;1;0
1100051054.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051055.avi;0;2;0;1;;0;1;0;1;0;;0;0;0
1100051056.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100051057.avi;2;3;2;0;;1;0;1;1;1;;0;0;0
1100051059.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100051061.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051062.avi;2;3;2;0;;1;0;1;1;1;;0;0;0
1100051064.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100051065.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051066.avi;3;3;2;0;;1;0;1;1;1;;0;0;0
1100051067.avi;2;3;2;1;;1;1;1;1;1;;0;0;0
1100051068.avi;1;3;1;0;;1;0;0;1;1;;0;0;0
1100051071.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100051076.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100051078.avi;0;2;0;1;;0;1;0;1;0;;0;0;0
1100051079.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100052001.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100052002.avi;1;2;1;0;;1;0;0;1;0;;0;0;0
1100052006.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052007.avi;1;2;1;0;;1;0;0;1;0;;0;0;0
1100052008.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100052009.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100052014.avi;3;1;0;0;;0;0;0;0;1;;1;1;0
1100052023.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100052024.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052026.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052027.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052028.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100052030.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100052031.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052032.avi;1;2;0;1;;0;1;0;1;0;;0;0;0
1100052033.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052035.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100052036.avi;1;2;0;1;;0;1;0;1;0;;0;0;0
1100052037.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052038.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052039.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052040.avi;2;3;1;0;;1;0;0;1;1;;0;0;0
1100052041.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052047.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052048.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100052049.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100052051.avi;2;2;2;3;;1;1;1;1;0;;0;0;0
1100052055.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100052057.avi;3;2;0;0;;0;0;0;0;1;;0;1;0
1100052060.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100052061.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100052062.avi;3;2;0;1;;0;1;0;1;0;;0;0;0
1100052065.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100052068.avi;3;2;2;0;;1;0;1;1;0;;0;0;0
1100052070.avi;1;2;0;1;;0;1;0;1;0;;0;0;0
1100061009.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061010.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100061011.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061012.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061013.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100061015.avi;3;2;0;0;;0;0;0;0;1;;0;1;0
1100061016.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061018.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100061019.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061022.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061023.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061025.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100061027.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061028.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100061030.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061031.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061032.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061033.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061034.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061035.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061036.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100061038.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061039.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061040.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061042.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061043.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061044.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061046.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061047.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061048.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061049.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061050.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100061051.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061053.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100061057.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100061058.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061061.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061063.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100061064.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061067.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061068.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061069.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100061073.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061074.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061077.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100061078.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100062004.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100062005.avi;0;3;2;2;;1;1;1;1;1;;0;0;0
1100062007.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100062008.avi;2;1;1;2;;1;1;1;1;0;;1;0;0
1100062009.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100062016.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100062017.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100062024.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062028.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100062029.avi;1;2;1;0;;1;0;0;1;0;;0;0;0
1100062036.avi;3;2;0;0;;0;0;0;0;1;;0;1;0
1100062037.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062044.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062045.avi;2;1;1;0;;1;0;0;1;0;;1;0;0
1100062046.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062049.avi;2;1;2;0;;1;0;1;1;0;;1;0;0
1100062051.avi;3;2;0;0;;0;0;0;0;1;;0;1;0
1100062053.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100062054.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100062059.avi;1;2;0;1;;0;1;0;1;0;;0;0;0
1100062060.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062061.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100062062.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100062063.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062064.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062065.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100062066.avi;3;3;0;0;;0;0;0;0;1;;0;1;0
1100062067.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100062068.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100062069.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100062070.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100062071.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100062072.avi;2;3;1;2;;1;1;1;1;1;;0;0;0
1100071005.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071006.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071007.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071008.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100071009.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071010.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071011.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071012.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100071013.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100071014.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100071015.avi;2;2;2;2;;1;1;1;1;0;;0;0;0
1100071016.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100071017.avi;1;2;0;1;;0;1;0;1;0;;0;0;0
1100071018.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100071019.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100071020.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071021.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100071022.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071023.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071024.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071026.avi;2;2;0;1;;0;1;0;1;0;;0;0;0
1100071027.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071028.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071029.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071030.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100071031.avi;3;3;0;1;;0;1;0;1;1;;0;0;0
1100071032.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100071033.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071034.avi;1;3;1;0;;1;0;0;1;1;;0;0;0
1100071035.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100071036.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100071037.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071040.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100071041.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071042.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100071043.avi;2;3;2;1;;1;1;1;1;1;;0;0;0
1100071044.avi;2;2;1;0;;1;0;0;1;0;;0;0;0
1100071045.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071046.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071047.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071049.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100071050.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
1100071052.avi;2;2;0;0;;0;0;0;0;1;;0;1;0
1100071054.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100071055.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100071056.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100071057.avi;2;3;0;0;;0;0;0;0;1;;0;1;0
